team1,team2,team1odds,team2odds,team1book,team2book,team1bet,team2bet,team1profit,team2profit,game
Tarleton State Texans,UT-Arlington Mavericks,-143,120,foxbet,pointsbetus,,,,,Tarleton State Texans vs UT-Arlington Mavericks
Hartford Hawks,UMass Lowell River Hawks,1000,-1750,mybookieag,mybookieag,1,0,10.0,-1.0,Hartford Hawks vs UMass Lowell River Hawks
Duke Blue Devils,Miami Hurricanes,140,-165,draftkings,draftkings,1,0,1.4,-1.0,Duke Blue Devils vs Miami Hurricanes
Holy Cross Crusaders,Lafayette Leopards,125,-150,draftkings,betmgm,1,0,1.25,-1.0,Holy Cross Crusaders vs Lafayette Leopards
Alabama A&M Bulldogs,Grambling St Tigers,158,-200,fanduel,foxbet,1,0,1.58,-1.0,Alabama A&M Bulldogs vs Grambling St Tigers
Green Bay Phoenix,Milwaukee Panthers,1100,-2500,pointsbetus,twinspires,1,0,11.0,-1.0,Green Bay Phoenix vs Milwaukee Panthers
Idaho State Bengals,Northern Arizona Lumberjacks,145,-182,circasports,foxbet,1,0,1.4500000000000002,-1.0,Idaho State Bengals vs Northern Arizona Lumberjacks
Alabama St Hornets,Southern Jaguars,240,-303,superbook,foxbet,1,0,2.4,-1.0,Alabama St Hornets vs Southern Jaguars
Arkansas-Pine Bluff Golden Lions,Jackson St Tigers,142,-175,mybookieag,foxbet,1,0,1.42,-1.0,Arkansas-Pine Bluff Golden Lions vs Jackson St Tigers
Florida A&M Rattlers,Prairie View Panthers,420,-667,fanduel,foxbet,1,0,4.2,-1.0,Florida A&M Rattlers vs Prairie View Panthers
Alcorn St Braves,Miss Valley St Delta Devils,-850,570,fanduel,fanduel,,,,,Alcorn St Braves vs Miss Valley St Delta Devils
Bethune-Cookman Wildcats,Texas Southern Tigers,270,-357,williamhill_us,foxbet,1,0,2.7,-1.0,Bethune-Cookman Wildcats vs Texas Southern Tigers
Kansas Jayhawks,Texas Longhorns,-200,166,betmgm,lowvig,,,,,Kansas Jayhawks vs Texas Longhorns
N Colorado Bears,Weber State Wildcats,-125,100,foxbet,draftkings,,,,,N Colorado Bears vs Weber State Wildcats
Marquette Golden Eagles,UConn Huskies,150,-175,draftkings,draftkings,1,0,1.5,-1.0,Marquette Golden Eagles vs UConn Huskies
Dayton Flyers,VCU Rams,130,-150,draftkings,draftkings,1,0,1.2999999999999998,-1.0,Dayton Flyers vs VCU Rams
North Carolina Tar Heels,Wake Forest Demon Deacons,-118,-118,foxbet,foxbet,,,,,North Carolina Tar Heels vs Wake Forest Demon Deacons
Butler Bulldogs,St. John's Red Storm,-143,105,foxbet,foxbet,,,,,Butler Bulldogs vs St. John's Red Storm
Arkansas Razorbacks,Kentucky Wildcats,140,-200,foxbet,foxbet,1,0,1.4,-1.0,Arkansas Razorbacks vs Kentucky Wildcats
Kansas St Wildcats,TCU Horned Frogs,-155,135,draftkings,draftkings,,,,,Kansas St Wildcats vs TCU Horned Frogs
Maryland Terrapins,Michigan St Spartans,120,-161,draftkings,foxbet,1,0,1.2000000000000002,-1.0,Maryland Terrapins vs Michigan St Spartans
NC State Wolfpack,Virginia Cavaliers,250,-300,draftkings,draftkings,1,0,2.5,-1.0,NC State Wolfpack vs Virginia Cavaliers
