book,game,team1,team1price,team2,team2price
draftkings,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
betonlineag,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-123,UT-Arlington Mavericks,102
bovada,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
williamhill_us,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-130,UT-Arlington Mavericks,110
lowvig,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-123,UT-Arlington Mavericks,103
betus,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
wynnbet,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
pointsbetus,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-130,UT-Arlington Mavericks,110
betmgm,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-120,UT-Arlington Mavericks,100
circasports,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-132,UT-Arlington Mavericks,109
superbook,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
twinspires,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-127,UT-Arlington Mavericks,104
unibet_us,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-127,UT-Arlington Mavericks,104
barstool,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
sugarhouse,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
betrivers,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-125,UT-Arlington Mavericks,105
fanduel,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-128,UT-Arlington Mavericks,106
foxbet,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-143,UT-Arlington Mavericks,105
mybookieag,Tarleton State Texans vs UT-Arlington Mavericks,Tarleton State Texans,-128,UT-Arlington Mavericks,105
